product_id;name;brand;category;price;size_value;size_unit;ingredients;key_ingredients;source;date_collected
P170;organic hair growth / hair loss treatment conditioner;Eucalie;Conditioner;79000;190;ml;aqua, glycerin, brassicamidopropyl dimethylamine, rosmarinus officinalis leaf oil*, niacinamide, cetearyl alcohol, polyquaternium-7, phenoxyethanol, cetyl alcohol, centella asiatica extract, citric acid, glutamic acid, salicylic acid, mentha piperita oil*, panax ginseng root extract, panthenol, cocos nucifera oil, calophyllum tacamahaca seed oil, tocopherol, hydroxypropyl methylcellulose, tetrasodium edta, hydrolyzed soy protein, propanediol, zinc pca, glucose, ornithine hcl, arginine hcl, citrulline, glucosamine hcl, onion extract, biotin;"[""dimethicone"", ""amodimethicone"", ""dimethicone"", ""olea europaea oil"", ""niacinamide"", ""sodium ascorbyl phosphate"", ""tocopheryl acetate"", ""argania spinosa kernel oil""]";https://www.sociolla.com/conditioner/88816-organic-hair-growth-hair-loss-treatment-conditioner;03/02/2026
P171;premium volume & repair treatment;Tsubaki;Conditioner;131900;160;gr;ingredients : aqua, glycerin, stearyl alcohol, behenyl alcohol, steartrimonium chloride, sorbitol, isopropyl myristate, hydrogenated polydecene, fragrance, isopropyl alcohol, amodimethicone, phenoxyethanol, methylparaben, ppg-2-deceth-12, laurtrimonium chloride, squalane, camellia japonica seed oil, polyquaternium-11, lactic acid, aspartic acid, citric acid, butylene glycol, sodium dilauramidoglutamide lysine, phytosteryl octyldodecyl lauroyl glutamate, phytosteryl macadamiate, taurine, glycine soja seed extract, tocopherol, hydroxypropyl arginine lauryl myristyl ether hcl, alcohol;"[""dimethicone"", ""amodimethicone"", ""lactic acid"", ""glycerin"", ""lactic acid""]";https://www.sociolla.com/conditioner/47980-premium-volume-and-repair-treatment;03/02/2026
P172;premium moist & repair treatment;Tsubaki;Conditioner;131900;160;gr;ingredients: aqua, glycerin, dimethicone, isopentyldiol, hydrogenated rapeseed alcohol, behentrimonium chloride, stearyl alcohol, sorbitol, isopropyl alcohol, cetyl alcohol, fragrance, aminopropyl dimethicone, phenoxyethanol, hydroxyethyl urea, hydroxypropyl arginine lauryl myristyl ether hcl, sodium benzoate, octyldodecanol, steartrimonium chloride, alcohol, lactic acid, citric acid, ammonium lactate, laurtrimonium chloride, squalane, camellia japonica seed oil, butylene glycol, sodium dilauramidoglutamide lysine, dipropylene glycol, phytosteryl octyldodecyl lauroyl glutamate, phytosteryl macadamiate, aminomethyl propanol, amodimethicone, glycine soja seed e;"[""glycerin"", ""dimethicone"", ""dimethicone"", ""salicylic acid"", ""amodimethicone""]";https://www.sociolla.com/conditioner/47978-premium-moist-and-repair-treatment;03/02/2026
P176;texture experience conditioner mint sorbet;Makarizo Professional;Conditioner;88800;250; ml;aqua water, sodium laureth sulfate, cocamidopropyl betaine, glycerin, polyquaternium-7, sodium chloride, fragrance, parfum, aroma, lauryl lactyl lactate, silicone quaternium-18, peg-120 methyl glucose trioleate, dmdm hydantoin, deceth-7, trideceth-6, dipropylene glycol, propanediol, etidronic acid, menthol, butylene glycol, menthyl lactate, iodopropynyl butylcarbamate, magnesium nitrate, cmit, methylchloroisothiazolinone, magnesium chloride, mit, methylisothiazolinone;"[""dimethicone"", ""glycerin"", ""lactic acid"", ""argania spinosa kernel oil"", ""panthenol"", ""biotin"", ""keratin"", ""hydrolyzed keratin"", ""keratin"", ""centella asiatica extract""]";https://www.sociolla.com/conditioner/28174-texture-experience-conditioner-mint-sorbet;03/02/2026
P181;hold me tight pro conditioner spring wonder;Lavojoy;Conditioner;100900;280;ml;water, cetearyl alcohol, stearamidopropyl dimethylamine lactate, behentrimonium chloride, betaine, trimethylolpropane tricaprylate tricaprate, phenoxyethanol, fragrance, insonoyl isononanoate, isopropyl alcohol, sodium benzoate, distearyldimonium chloride, guar hydroxypropyltrimonium chloride, menthol, citric acid, disodium edta, butylene glycol, panthenol, argania spinosa kernel oil, camellia japonica seed oil, sclerocarya birrea seed oil, zinger officinale root extract, anemarrhena asphodeloides root extract, panax ginseng root extract, propylene glycol, diaminopyrimidine oxide, propanediol, 1, 2-hexanediol, angelica polymorpha multiflorum root extract, biota orientalis leaf ext;"[""dimethicone""]";https://www.sociolla.com/conditioner/77588-hold-me-tight-pro-conditioner-spring-wonder;03/02/2026
P182;real intensive acid conditioner;la'dor;Conditioner;255000;900;ml;water, cetearyl alcohol, dimethicone, isopropyl myristate, glycerin, steartrimonium chloride, propylen glycol, lactobacilus fermentasi ekstrak kulit lemon, ekstrak daun rosmarinus officonalis, ekstrak daun eucalyptus globulus, ekstrak buah citrus limon, ekstrak buah citrus aurantifolia, gliceryl stearate se, hydroxyethylcellulose, salicylic acid, cetrimonium chloride, capryril glycol, laureth-20, laureth-3, butylene glycol, disodium phosphate, sodium citrate, polisorbate 60, 1, 2-hexanediol, citric acid, sodium phosphate, ethylhexylglycerin, phenoxyethanol, ci 42090, ci 17200, fragrance;"[""glycerin"", ""dimethicone"", ""dimethicone"", ""arginine"", ""lactic acid"", ""amodimethicone"", ""sodium ascorbyl phosphate""]";https://www.sociolla.com/conditioner/86414-lador-real-intensive-acid-conditioner;03/02/2026
P183;elseve glycolic gloss conditioner;L'Oreal Paris;Conditioner;79900;265; ml;aqua water, cetearyl alcohol, cocos nucifera oil coconut oil, brassicamidopropyl dimethylamine, hydroxycitronellal, benzoic acid, linalool, caprylyl glycol, tartaric acid, octyldodecanol, glyceryl stearate, parfum fragrance, ethylhexyl salicylate, xylose, limonene, glycolic acid, hexyl cinnamal;"[""glycerin"", ""dimethicone"", ""dimethicone"", ""simmondsia chinensis seed oil"", ""olea europaea oil"", ""sodium hyaluronate""]";https://www.sociolla.com/conditioner/94973-elseve-glycolic-gloss-conditioner;03/02/2026
P184;collagen repair conditioner 250ml;CBD Professional;Conditioner;72000;250;ml;aqua, cetearyl alcohol, perfume, glycerin, behentrimonium chloride, , cetyl alcohol, dimethicone, phenoxyethanol, glyceryl stearate, isopropanol, cetrimonium chloride, peg-100 stearate, benzotriazolyl dodecyl p-cresol, bht, disodium edta, sodium metabisulfite, rubus idaeus fruit extract, propylene glycol, collagen, panthenol, citric acid, dmdm hydantoin;"[""dimethicone"", ""glycerin"", ""olea europaea oil"", ""panthenol"", ""argania spinosa kernel oil"", ""keratin"", ""hydrolyzed keratin"", ""keratin"", ""simmondsia chinensis seed oil"", ""butyrospermum parkii""]";https://www.sociolla.com/conditioner/76000-collagen-repair-conditioner-250ml;03/02/2026
P187;t1 intensive care system equalizer conditioner;Makarizo;Conditioner;56500;180; ml;water, cyclotetrasiloxane, cetearyl alcohol, behentrimonium chloride, dimethicone, amodimethicone, glyceryl stearate, phenoxyethanol, fragrance, polyquaternium-47, ceteareth-20, ethylhexyl palmitate, cyclopentasiloxane, hydroxyethylcellulose, guar hydroxypropyltrimonium chloride, tetrasodium edta, panthenol, ethylhexylglycerin, hydrolyzed silk pg-propyl methylsilanediol crosspolymer, cetrimonium chloride, sodium benzoate, phytantriol;"[""glycerin"", ""dimethicone"", ""dimethicone"", ""salicylic acid"", ""amodimethicone""]";https://www.sociolla.com/conditioner/76962-t1-intensive-care-system-equalizer-conditioner;03/02/2026
P189;elseve hyaluron pure conditioner;L'Oreal Paris;Conditioner;87000;265;ml;aqua water, glycerin, cetearyl alcohol, distarch phosphate, quaternium-87, dimethicone, ci 17200 red 33, ci 42090 blue 1, lactic acid, sodium hyaluronate, phenoxyethanol, steareth-6, acetic acid, peg-150 decyl alcohol smdi copolymer, peg-100 stearate, behentrimonium chloride, trideceth-10, trideceth-3, chlorhexidine digluconate, salicylic acid, propylene glycol, amodimethicone, isopropyl alcohol, parfum fragrance;"[""glycerin"", ""amodimethicone"", ""lactic acid"", ""tocopherol"", ""arginine""]";https://www.sociolla.com/conditioner/89820-elseve-hyaluron-pure-conditioner;03/02/2026
P190;keratin pro daily conditioner;CBD Professional;Conditioner;63000;250;ml;aqua, cetearyl alcohol, glycerin, dimethicone, behentrimonium chloride, glyceryl stearate, perfume, hydroxypropyl starch phosphate, phenoxyethanol, cetrimonium chloride, peg-100 stearate, isopropanol, sodium metabisulfite, bht, disodium edta, panthenol, aminomethyl propanol, hydrolyzed keratin, citric acid;"[""dimethicone"", ""glycerin"", ""panthenol"", ""tocopheryl acetate"", ""sodium hyaluronate"", ""sodium hyaluronate"", ""sodium hyaluronate""]";https://www.sociolla.com/conditioner/67658-keratin-pro-daily-conditioner-1000ml;03/02/2026
P191;texture experience conditioner black chocolate;Makarizo Professional;Conditioner;88800;250; ml;aqua water, cetearyl alcohol, behentrimonium chloride, glyceryl stearates, polyquaternium-47, cyclotetrasiloxane, amodimethicone, ceteareth-20, dimethicone, fragrance, parfum, aroma, ceteareth-12, ethylhexyl palmitate, hydroxyethylcellulose, isopropyl alcohol, cyclopentasiloxane, guar hydroxypropyltrimonium chloride, ci 19140, acid yellow 23, yellow 5 lake, yellow no4, dmdm hydantoin, ci 14720, red 3, sodium sulfate, theobroma cacao extract, steartrimonium chloride, quaternium-10, trideceth-12, ci 42090, blue no 1 blue no 4, butylene glycol, iodopropynyl butylcarbamate, magnesium nitrate, cmit, methylchloroisothiazolinone, magnesium chloride, mit, methylisothiazolinone;"[""dimethicone"", ""keratin"", ""hydrolyzed keratin"", ""ceramide np"", ""argania spinosa kernel oil"", ""ceramide np"", ""ceramide np"", ""hydrolyzed keratin""]";https://www.sociolla.com/conditioner/28172-texture-experience-conditioner-black-chocolate;03/02/2026
P192;intensive care+repair conditioner;creme and tonic;Conditioner;115000;200;ml;aqua, cetyl alcohol, glycerin, behentrimonium chloride, butyrospermum parkii butter, cetrimonium chloride, amodimethicone, trideceth-6, cetearyl alcohol, hydrolyzed vegetable protein pg-propyl silanetriol, fragrance, hydroxyethylcellulose, phenoxyethanol, dimethicone, laureth-23, polyquaternium-10, laureth-4, macrocystis pyrifera extract, chlorphenesin, citric acid, butylene glycol, ppg-26-buteth-26, peg-40 hydrogenated castor oil, biotinoyl tripeptide-1, ceramide 2, apigenin, oleanolic acid;"[""glycerin"", ""dimethicone"", ""tocopherol"", ""keratin"", ""ceramide np"", ""ceramide np"", ""ceramide np""]";https://www.sociolla.com/conditioner/89052-intensive-care-repair-conditioner;03/02/2026
