product_id,name,category,source,date_collected,brand_normalized,size_value,size_Units,price_Normalized,ingredients_normalized,key_ingredients,category_trimmed,,category_master,category_fix
P011,Premium EX Hair Fall Care & Repair Conditioner Treatment,Conditioner,https://www.sociolla.com/conditioner/89478-premium-ex-hair-fall-care-and-repair-conditioner-treatment,1/6/2026,Tsubaki,450,ml,179530,"aqua, stearyl alcohol, isopentyldiol, behentrimonium chloride, glycerin, dimethicone, sorbitol, cetyl alcohol, dipropylene glycol, isopropyl alcohol, fragrance, aminopropyl dimethicone, isopropyl myristate, sodium methyltaurate, peg-2 laurate, salicylic acid, sodium benzoate, phenoxyethanol, c13-16 isoparaffin, polysilicone-13, steartrimonium chloride, laurtrimonium chloride, c10-13 isoparaffin, squalane, disodium edta, camellia japonica seed oil, butylene glycol, cetrimonium chloride, sodium dilauramidoglutamide lysine, amodimethicone, bis-ethylhexyloxyphenol methoxyphenyl triazine, phytosteryl macadamiate, ppg-2-deceth-12, citrus unshiu peel extract, eucheuma serra/grateloupia sparsa/saccharina angustata/ulva linza/undaria pinnatifida extract, lactic acid, saccharina angustata/undaria pinnatifida extract, tocopherol, phytosteryl/octyldodecyl lauroyl glutamate.​","lactic acid, salicylic acid, tocopherol",Conditioner,,Hair Mist,Conditioner
P012,Hair Vitamin Keratin Hair Repair Jar,Hair Vitamin,https://www.sociolla.com/hair-vitamin/28598-vitamin-rambut-keratin-hair-repair-jar,1/6/2026,Ellips,50,ml,115815,"cyclopentasiloxane, cyclotetrasiloxane, dimethiconol, fragrance",,Hair Vitamin,,,Hair Vitamin
P013,Collagen Repair Hair Serum,Hair Serum,https://www.sociolla.com/hair-serum/76003-collagen-repair-hair-serum-100ml,1/6/2026,Cbd Professional,100,ml,937205,"cyclopentasiloxane, isohexadecane, dimethiconol, dimethicone, caprylic/capric triglyceride, isopropyl myristate, perfume, aqua, carthamus tinctorius seed oil, rubus idaeus fruit extract, hydrolyzed collagen, phenoxyethanol",,Hair Serum,,,Hair Serum
P014,MISSDAISY Perfume Shampoo - Rose & Oud,Shampoo,https://www.sociolla.com/shampoo/76276-missdaisy-perfume-shampoo-rose-and-oud?size=500ml,1/6/2026,Miss Daisy,500,ml,369000,"aqua, sodium lauroyl methylaminopropionate, sodium methyl cocoyl taurate, cocoamidopropyl betaine, lauryl hydroxysultaine, ppg-2 hydroxyethyl coco/isostearamide, peg-250 distearate, fragrance, palmitamidopropyltrimonium chloride, dipropylene glycol, phenoxyethanol, citric acid, polyquaternium-10, guar hydroxypropyltrimonium chloride, c10-40 isoalkylamidopropylethyldimonium ethosulfate, tetrasodium edta, o-cymen-5-ol, hydrolyzed wheat protein, silk amino acids, ceramide np, ceramide ap, ceramide eop, phytoshingosine, cholesterol, sodium lauroyl lactylate, carbomer, xanthan gum, nicotiamide, helichrysum italicum extract, hydrolyzed rhodophycea extract.","ceramide np, hydrolyzed wheat protein",Shampoo,,,Shampoo
P015,Intensive Scalp Serum,Scalp Serum,https://www.sociolla.com/hair-serum/74234-intensive-scalp-serum,1/6/2026,Djamujamu,45,ml,203350,"water, alcohol, pisum sativum sprout extract, ocimum basilicum hairy root culture extract, peg-40 hydrogenated castor oil, panax ginseng root extract, menthyl lactate, hydroxyethylcellulose, sodium benzoate, zingiber officinale root oil, salicylic acid, santalum austrocaledonicum wood oil.","panax ginseng root extract, salicylic acid",Scalp Serum,,,Scalp Serum
P016,Barber Daily 2 in 1 Hair Tonic Bottle,Hair Tonic,https://www.sociolla.com/hair-tonic/28188-barber-daily-2-in-1-hair-tonic-bottle,1/6/2026,Makarizo Professional,140,ml,82980,"water, alcohol, propylene glycol, peg-40 hydrogenated castor oil, aloe vera leaf extract, fragrance, phenoxyethanol, menthol, panthenyl ethyl ether, piroctone olamine, citric acid, menthyl lactate, panax ginseng root extract, potassium sorbate, sodium ben.","menthol, panax ginseng root extract, piroctone olamine",Hair Tonic,,,Hair Tonic
P017,Argan Repair Oil,Hair Oil,https://www.sociolla.com/hair-oil/9717-argan-repair-oil,1/6/2026,Dancoly,60,ml,259470,argania spinosa kernel oil helianthus annuus (sunflower) seed oil opuntia tuna extract citrus aurantium amara (bitter orange) flower extract boswellia carterii oil parfum phenoxyethanol.,argania spinosa kernel oil,Hair Oil,,,Hair Oil
P018,Kelaya Hair Shampoo,Shampoo,https://www.sociolla.com/hair-oil/9717-argan-repair-oil,1/6/2026,Kelaya,100,ml,48500,"aqua, sodium laureth sulfate, cocamidopropyl betaine, tetrahydroxy ethyl sulphate- disodium, aloe barbadensis extract,menthol, polyquaternium-7, peg-150 distearate, fragrance, potassium hydroxide, aleurites moluccana extract, cetrimonium chloride, bis (c13-15 alkoxy) pg-amodimethicone, sodium chloride, peg-400, piroctone olamine, tetrasodium edta methylchloroisothiazolinone, methylisothiazolinone..","menthol, piroctone olamine",Shampoo,,,Shampoo
P019,Keratin Protein Repair Conditioner,Conditioner,https://www.sociolla.com/conditioner/85225-keratin-protein-repair-conditioner,1/6/2026,Beamarry New York,380,ml,152213,"aqua, cetearyl alcohol, ethylhexyl palmitate, steartrimonium chloride, dimethicone, glyceryl stearate, hydroxyethylcellulose, dmdm hydantoin, parfum, glycerin, propylene glycol phenoxyethanol panthenol macadamia ternifolia seed oil, argania spinosa kernel oil, ci 19140, keratin, hydrolyzed keratin, oxidized keratin, rosmarinus officinalis (rosemary) leaf oil, rosa rugosa flower extract, rosa rugosa flower oil, michelia alba flower oil cymbidium grandiflorum (orchid) root extract, ci 75470, rosa centifolia flower extract, jasminum officinale (jasmine) extract, bellis perennis (daisy) flower extract, xanthan gum.","argania spinosa kernel oil, hydrolyzed keratin, keratin, panthenol",Conditioner,,,Conditioner
P020,Coconut Milk Hair Serum,Hair Serum,https://www.sociolla.com/hair-serum/85240-coconut-milk-hair-serum,1/6/2026,Beamarry New York,110,ml,190246,"cyclopentasiloxaneisododecane, ethylhexyl palmitate, dimethiconol dimethicone parfum, olea europaea jolive fruit oil argania spinosa kernel oil orbignya oleifera seed oil, tocopheryl acetate, ci 15985, simmondsia chinensis (jojoba) seed oil butyrospermum parkii (shea butter), vitis vinifera (grape) seed oil, prunus amygdalus dulcis (sweet almond) oil, keratin, hydrolyzed keratin, oxidized keratin.","argania spinosa kernel oil, hydrolyzed keratin, keratin, tocopheryl acetate",Hair Serum,,,Hair Serum
