product_id,name,brand,category,size,price,ingredients,source,date_collected
P207,Serum Original Conditioner,MISE EN SCÈNE,Conditioner,530mL,Rp149.000 Rp134.100,"INGREDIENTS : WATER / AQUA / EAU, GLYCERIN, DIPROPYLENE GLYCOL, CETYL ALCOHOL, STEARYL ALCOHOL, DIMETHICONE, BEHENTRIMONIUM CHLORIDE, ISOPROPYL ALCOHOL, FRAGRANCE / PARFUM, HYDROXYETHYLCELLULOSE, ETHYLHEXYLGLYCERIN, DISODIUM EDTA, YELLOW 5 (CI 19140), YELLOW 6 (CI 15985), TOCOPHEROL, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, OLEA EUROPAEA (OLIVE) FRUIT OIL, PRUNUS ARMENIACA (APRICOT) KERNEL OIL, ARGANIA SPINOSA KERNEL OIL, CAMELLIA JAPONICA SEED OIL, COCOS NUCIFERA (COCONUT) OIL, RED 33 (CI 17200), BLUE 1 (CI 42090), COCO-CAPRYLATE/CAPRATE, SCLEROCARYA BIRREA SEED OIL, GLYCOLIPIDS",https://www.sociolla.com/conditioner/83503-serum-original-conditioner,3/2/2026
P208,Hair Expert Hair Conditioner,SAFI,Conditioner,160 gr,Rp49.900,"Aqua/Water, Dimethicone, Stearyl Alcohol, Cetearyl Alcohol, Propylene Glycol, Behentrimonium Chloride, Cetrimonium Chloride, Amodimethicone, Bis-aminopropyl Dimethicone, Olea Europaea (Olive) Fruit Oil, BHT (Butylated hydroxytoluene), Tetrasodium EDTA, Citric Acid, Nigella Sativa (Black Cumin) Seed Oil, Niacinamide; Nicotinamide, Charcoal Powder, Maltodextrin, Calcium Pantothenate, Sodium Ascorbyl Phosphate, Amylodextrin, Tocopheryl Acetate, Pyridoxine HCL, Silica, Fragrance; Parfum; Aroma, DMDM Hydantoin, CI 19140; ACID YELLOW 23; Yellow 5 Lake; Yellow no.4, CI 15985; YELLOW 6, Silicone Quaternium-16, PEG-14m, Sodium Hydroxide, Argania Spinosa (Argan) Kernel Oil, Sodium chloride",https://www.sociolla.com/conditioner/25184-hair-expert-hair-conditioner,3/2/2026
P209,Tresemme Conditioner For Bleached Hair Color Radiance & Repair 250Ml,TRESEMMÉ,Conditioner,250 ml,Rp124.200,"Water, Cetearyl Alcohol, Dimethicone, Behentrimonium Chloride, Perfume, Dipropylene Glycol, Strearamidopropyl Dimethylamine, Amodimethicone, Sodium Chloride, Lactic Acid Disodium Edta, Phenoxyethanol, Peg-7 Propylheptyl Ether, Cetrimonium Chloride, Cyclotetrasiloxane, Magnesium Nitrate, Helianthus Annuus (Sunflower) Seed Oil, Glycine Soja (Soybean) Phytoplacenta Extract, Sodium Sulfate, Methylchloroisothiazolinone, Magnesium Chloride, Methylisothiazolinone, Glycerin, Acetic Acid, Calcium Chloride, Ci 60730",https://www.sociolla.com/conditioner/48649-kem-xa-color-radiance-and-repair-toc-tay,3/2/2026
P210,Premium Ex Hair Fall Care & Repair Conditioner Treatment Twinpack,TSUBAKI,Conditioner,Quantity,Rp359.800 Rp313.026,"AQUA, STEARYL ALCOHOL, ISOPENTYLDIOL, BEHENTRIMONIUM CHLORIDE, GLYCERIN, DIMETHICONE, SORBITOL, CETYL ALCOHOL, DIPROPYLENE GLYCOL, ISOPROPYL ALCOHOL, FRAGRANCE, AMINOPROPYL DIMETHICONE, ISOPROPYL MYRISTATE, SODIUM METHYLTAURATE, PEG-2 LAURATE, SALICYLIC ACID, SODIUM BENZOATE, PHENOXYETHANOL, C13-16 ISOPARAFFIN, POLYSILICONE-13, STEARTRIMONIUM CHLORIDE, LAURTRIMONIUM CHLORIDE, C10-13 ISOPARAFFIN, SQUALANE, DISODIUM EDTA, CAMELLIA JAPONICA SEED OIL, BUTYLENE GLYCOL, CETRIMONIUM CHLORIDE, SODIUM DILAURAMIDOGLUTAMIDE LYSINE, AMODIMETHICONE, BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE, PHYTOSTERYL MACADAMIATE, PPG-2-DECETH-12, CITRUS UNSHIU PEEL EXTRACT, EUCHEUMA SERRA/GRATELOUPIA SPARSA/SA..",https://www.sociolla.com/conditioner/90601-premium-ex-hair-fall-care-and-repair-conditioner-treatment-twinpack,3/2/2026
P211,Helichrysum Revitalizing Conditioner (For Dry/Damaged Hair),DANCOLY,Conditioner,400 ml,Rp239.000 Rp212.710,,https://www.sociolla.com/conditioner/9710-helichrysum-revitalizing-conditioner-for-dry-damaged-hair,3/2/2026
P212,Conditioner Nutri Shine,WARDAH,Conditioner,170 ml,Rp27.500,"Fragrance, Disodium EDTA, Ethylhexylglycerin, Butylene Glycol, Argania Spinosa Kernel Oil, Phytosteryl/Octyldodecyl Lauroyl Glutamate, Vitis Vinifera (Grape) Seed Extract.",https://www.sociolla.com/conditioner/9620-conditioner-nutri-shine,3/2/2026
P213,Herbalism Treatment,LA'DOR,Conditioner,150ml,Rp135.000 - Rp255.000 Rp108.000 - Rp204.000,"Purified Water, Cetearyl Alcohol, Propylene Glycol, Aminopropyl Dimethicone, C13-15 Alkane, Steartrimonium Chloride, Dimethicone, Cetrimonium Chloride, Cetyl Alcohol, Stearamidopropyl Dimethylamine, C12-14 Sec-Pareth-7, Amodimethicone, Trideceth-12, Camellia Japonica Seed Oil, Vitis Vinifera (Grape) Seed Oil, Argania Spinosa Kernel Oil, Glyceryl Stearate SE, Hydroxyethylcellulose, 1,2-Hexanediol, Hamamelis Virginiana (Witch Hazel) Leaf Extract, Salvia Officinalis (Sage) Leaf Extract, Melissa Officinalis Leaf Extract, Mentha Piperita (Peppermint) Extract, Lavandula Angustifolia (Lavender) Extract, Houttuynia Cordata Extract, Eucalyptus Globulus Leaf Extract, Arginine, Leucine, Tryptophan, ..",https://www.sociolla.com/conditioner/59453-lador-herbalism-treatment,3/2/2026
P214,Diane Be True Damage Repair Healthy Treatment 400ml,MOIST DIANE,Conditioner,400ML,Rp155.000 Rp127.100,"aqua, cetearyl alcohol, Dimethicone, ricinus communis seed oil, polyepsilon-lysine, Glucose, butylene glycol, Hydrolyzed Pea protein, ocimum sanctum leaf extract, Persea Gratissima (Avocado) Oil, Argania Spinosa Kernel Oil, Butyrospermum Parkii (Shea) Butter, Ethylhexyl palmitate, Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate, OPUNTIA FICUS-INDICA SEED OIL, Hydrogenated castor Oil Isostearate, Dimethiconol, Sodium lactate, Hydroxyethylcellulose, glyceryl tri-hydrogenated rosinate, Steartrimonium chloride, cetrimonium chloride, dicocodimonium chloride, Isopropyl alcohol, Lactic acid, Disodium edta, Phenoxyethanol, Fragrance (Parfum) Components and Finished Fragrance..",https://www.sociolla.com/conditioner/80757-diane-be-true-damage-repair-healthy-treatment-400ml,3/2/2026
P215,Extra Volume & Scalp Treatment,MOIST DIANE,Conditioner,450 ml,Rp136.000 Rp115.600,,https://www.sociolla.com/conditioner/27119-extra-volume-and-scalp-treatment,3/2/2026
P216,Rose Oil Orchid Nourish Conditioner,BEAMARRY NEW YORK,Conditioner,380ml,Rp227.184 Rp147.670,"AQUA CETEARYL ALCOHOL, AMODIMETHICONE PEG-100 STEARATE, ISOPROPYL MYRISTATE, HYDROXYETHYLCELLULOSE GLYCERYL STEARATE, DMDM HYDANTOIN, PARFUM, GLYCERIN, PROPYLENE GLYCOL, LACTIC ACID, PHENOXYETHANOL TRIDECETH-10, C 60730, CETRIMONIUM CHLORIDE, MACADAMIA TERNIFOLIA SEED OIL ARGANIA SPINOSA KERNEL OIL, PANTHENOL, BIOTIN, LAVANDULA ANGUSTIFOLIA EXTRACT, KERATIN, HYDROLYZED KERATIN, OXIDIZED KERATIN, AVEN SATIA (OAT) KERNEL EXTRACT, TREMELLA FUCIFORMIS EXTRACT, OPUNTIA STREPTACANTHA STEM EXTRACT, CENTELLA ASIATICA EXTRACT",https://www.sociolla.com/conditioner/85226-rose-oil-orchid-nourish-conditioner,3/2/2026
